Total number of places on parking lot = Occupied places + Unknown places + Free places
Free places can be calculated by subtracting unknown + occupied columns from total count
You can get total number of places from CMS

Timepoint (grouped in 15 minute intervals),Num of places in occupied state,Num of places in unknown state
08-04-2024 20:45:00,25,0
08-04-2024 21:00:00,26,0
08-04-2024 21:15:00,25,0
08-04-2024 21:30:00,24,0
08-04-2024 21:45:00,25,0
08-04-2024 22:00:00,23,0
08-04-2024 22:15:00,24,0
08-04-2024 22:30:00,25,0
08-04-2024 22:45:00,26,0
08-04-2024 23:00:00,26,0
08-04-2024 23:15:00,26,0
08-04-2024 23:30:00,26,0
08-04-2024 23:45:00,26,0
09-04-2024 00:00:00,26,0
09-04-2024 00:15:00,26,0
09-04-2024 00:30:00,26,0
09-04-2024 00:45:00,26,0
09-04-2024 01:00:00,26,0
09-04-2024 01:15:00,26,0
09-04-2024 01:30:00,26,0
09-04-2024 01:45:00,26,0
09-04-2024 02:00:00,26,0
09-04-2024 02:15:00,26,0
09-04-2024 02:30:00,26,0
09-04-2024 02:45:00,26,0
09-04-2024 03:00:00,26,0
09-04-2024 03:15:00,26,0
09-04-2024 03:30:00,26,0
09-04-2024 03:45:00,26,0
09-04-2024 04:00:00,26,0
09-04-2024 04:15:00,25,0
09-04-2024 04:30:00,26,0
09-04-2024 04:45:00,26,0
09-04-2024 05:00:00,25,0
09-04-2024 05:15:00,25,0
09-04-2024 05:30:00,25,0
09-04-2024 05:45:00,26,0
09-04-2024 06:00:00,24,0
09-04-2024 06:15:00,23,0
09-04-2024 06:30:00,22,0
09-04-2024 06:45:00,22,0
09-04-2024 07:00:00,20,0
09-04-2024 07:15:00,20,0
09-04-2024 07:30:00,19,0
