Total number of places on parking lot = Occupied places + Unknown places + Free places
Free places can be calculated by subtracting unknown + occupied columns from total count
You can get total number of places from CMS

Timepoint (grouped in 15 minute intervals),Num of places in occupied state,Num of places in unknown state
09-05-2024 01:30:00,23,0
09-05-2024 01:45:00,23,0
09-05-2024 02:00:00,23,0
09-05-2024 02:15:00,23,0
09-05-2024 02:30:00,23,0
09-05-2024 02:45:00,23,0
09-05-2024 03:00:00,23,0
09-05-2024 03:15:00,23,0
09-05-2024 03:30:00,23,0
09-05-2024 03:45:00,23,0
09-05-2024 04:00:00,23,0
09-05-2024 04:15:00,22,0
09-05-2024 04:30:00,22,0
09-05-2024 04:45:00,22,0
09-05-2024 05:00:00,22,0
09-05-2024 05:15:00,22,0
09-05-2024 05:30:00,22,0
09-05-2024 05:45:00,21,0
