#INTERVAL_START,INTERVAL_END,ANIMAL,BICYCLE,BUS,CAR,CAR_TRAILER,CARAVAN,E_CART,HEAD,HEAVY,LIGHT,MOTORCYCLE,OBSTACLE,PEDESTRIAN,PRAM,SCOOTER,SKATE,TRACTOR,TRAM,TRUCK_TRAILER,TUK_TUK,UNKNOWN,VAN,WHEELCHAIR
2024-07-30T08:30:00+02:00,2024-07-30T08:35:00+02:00,0,1,1,11,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,3,0
2024-07-30T08:35:00+02:00,2024-07-30T08:40:00+02:00,0,1,1,24,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
2024-07-30T08:40:00+02:00,2024-07-30T08:45:00+02:00,0,1,0,19,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,2,0
2024-07-30T08:45:00+02:00,2024-07-30T08:50:00+02:00,0,1,1,22,0,0,0,0,2,1,1,0,4,0,0,0,0,0,0,0,0,1,0
